Nom de l'offre touristique;Type de l'offre;Type habitation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'acces/Nom/distance;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;Code Embed pour intégrer une video;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Confort immobillier;Confort mobillier;Labels;Classement dans un label;Catégorie de la fête ou manifestation;Nombre chambres;Nombre chambres pour accès à mobilité réduite;Nombre total d'hébergements / logements;Nombre personnes;Surface en M2;Services proposés sur place;Langues parlées à l'accueil;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Coordonnées centrale de réservation;Nom agence/nom contact/Téléphone/E-mail/URL resa/URL dispo/;Tarif(s);Modes de paiement acceptés;localisation;departement
LA BIENVEILLEUSE;Meublés;Cabane;;;;;44260;LAVAU-SUR-LOIRE;;44080;47.30654;-1.967691;;;;;;;;Facebook||https://www.facebook.com/terredestuaire,Instagram||https://www.instagram.com/terredestuaire,Twitter||https://twitter.com/terredestuaire;;;non;;;non;;;"Entrée indépendante;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";;;;;1;0;1;2;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);Français;non;;Mathilde Buron||02 85 67 04 81||marketing@terredestuaire.fr;;;;Nuitée (meublé)||||||Réservation auprès de Nantes Tourisme. Le tarif est à la nuitée, pour une à deux personnes. Le petit-déjeuner n'est pas compris. Toutefois, un plateau de courtoisie est à disposition (café, thé, eau, biscuits).;Cartes bancaires;47.30654,-1.967691;Loire-Atlantique
L'IMPRÉVU;Chambres d'hôtes;Maison;;;1 Le Bois Clair;;44320;SAINT-PERE-EN-RETZ;;44187;47.23929;-2.02947;;06 65 97 72 19;09 82 41 49 09;;;http://www.gite-imprevu.com;;;;;;;;non;EV1-La Vélodyssée,EV6-La Loire à Vélo;Parc/jardin;"Cheminée;Entrée indépendante;Garage";Cheminée;;;2 étoiles;2;;1;4;84;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mr Toulouse||09 82 41 49 09||admin@gite-imprevu.com;;;;;;47.23929,-2.02947;Loire-Atlantique
APPARTEMENT 2/4 PERSONNES - MME JOFFRAUD-BONDEUX;Meublés;Appartement;;;1 Quai de Verdun;;44420;PIRIAC-SUR-MER;;44125;47.38161;-2.54645;;06 61 70 52 38;;;;;;;;;non;;;;;;"Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;Non classé;1;;;4;;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;01/04/2022||05/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||770,00||770,00||;"Chèques bancaires et postaux;Espèces";47.38161,-2.54645;Loire-Atlantique
LES SALINS - APPARTEMENT DUPLEX - MME SORIA;Meublés;Appartement;;;1 rue de la Gare;;44740;BATZ-SUR-MER;;44010;47.27906;-2.48023;;;06 30 85 11 49;;;https://gitelessalinsdebatzsurmer.com;;;;;non;;;non;;;Parking;Lave linge;;;3 étoiles;1;;;2;35;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Anglais;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.27906,-2.48023;Loire-Atlantique
APPARTEMENT  4 PERSONNES - M.PRIMOT;Meublés;Appartement;;;1 rue du Sable Menu;;44490;LE CROISIC;;44049;47.29155;-2.51892;;;09 53 55 29 73;;;;;;;;;;;;;;Parking;Lave linge,Lave vaisselle;;;Non classé;1;;;4;;;;;;;;;;;Chèques Vacances;47.29155,-2.51892;Loire-Atlantique
APPARTEMENT  4 PERSONNES - MME DULON SAINT-PAUL;Meublés;Appartement;;;1 rue Victor hugo;;44490;LE CROISIC;;44049;47.28985;-2.50925;;;06 65 69 71 29;;;;;;;;oui;;;non;V45-Vélocéan Nord Loire;;"Jardin indépendant;Local vélo;Plain Pied;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;Accueil Vélo;;2 étoiles;1;;;4;;Location de draps,Fourniture de draps (gratuit);Anglais;;;;;;;;;47.28985,-2.50925;Loire-Atlantique
APPARTEMENT 4 PERSONNES - M.ET MME AMAND;Meublés;Appartement;;;10 quai du port Ciguet;;44490;LE CROISIC;;44049;47.29633;-2.51382;;;02 40 60 85 15;;;;;;;;non;;;;;;;Sèche linge,Lave vaisselle,Micro ondes;;;Non classé;2;;;4;;;;;;;;;;;;47.29633,-2.51382;Loire-Atlantique
GITE  IL ETAIT UNE FOIS CHEZ MOI LA MAISON DE TANTE MARIE;Meublés;Maison;;;10 route de Nantes;;44430;LE LOROUX-BOTTEREAU;;44084;47.2381771;-1.3521161;;06 51 02 09 91;;;;http://www.iletaitunefoischezmoi.fr/;;;;;non;;;non;EV6-La Loire à Vélo;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;Accueil Vélo,La Loire à vélo,Vignobles et découvertes;;Non classé;2;;1;4;70;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Français";oui;;;;;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.2381771,-1.3521161;Loire-Atlantique
AU PETIT DON;Chambres d'hôtes;;;;10 Rue du Château;;44670;LA CHAPELLE-GLAIN;;44031;47.62248;-1.19782;;06 45 75 62 25;;;;www.aupetitdon.com;;;;;;;;non;;Parc/jardin,WiFi;;;;;;1;;;3;;Tables d'hôtes;Anglais;;;;;;;1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||55,00||||,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||65,00||||,Table d'hôtes||28,00||||(formule étape pro à 18€);;47.62248,-1.19782;Loire-Atlantique
LE GRAND PRE;Chambres d'hôtes;Maison;;;10, Le Grand Pré;;44360;SAINT-ETIENNE-DE-MONTLUC;;44158;47.2618341;-1.7461216;;06 32 29 32 58;02 40 85 28 14;;;;;;;;;;;non;;WiFi;"Entrée indépendante;Parking;Sanitaires privés";;;;;1;;;2;10;;;;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||||||Tarif dégressif à partir de la 3e nuit.;;47.2618341,-1.7461216;Loire-Atlantique
